time,knee_angle_l
6.2333333,40.59192927
6.25,38.62662107
6.2666667,36.90560986
6.2833333,35.27085998
6.3,33.8157323
6.3166667,32.06367991
6.3333333,30.25054679
6.35,28.36672207
6.3666667,26.53799061
6.3833333,24.60210579
6.4,22.98125054
6.4166667,21.35703649
6.4333333,19.92051332
6.45,18.41429863
6.4666667,16.86069766
6.4833333,15.60558615
6.5,14.41335931
6.5166667,13.45908253
6.5333333,12.59032005
6.55,11.81928048
6.5666667,11.24997846
6.5833333,10.71263043
6.6,10.25532195
6.6166667,9.97731975
6.6333333,9.77116452
6.65,9.70360149
6.6666667,9.29682848
6.6833333,9.08216625
6.7,8.93614405
6.7166667,8.80718616
6.7333333,8.75223899
6.75,8.71449072
6.7666667,8.81620758
6.7833333,8.93935137
6.8,9.12028009
6.8166667,9.28936424
6.8333333,9.37428605
6.85,9.3175208
6.8666667,9.41362539
6.8833333,9.36245375
6.9,9.29554117
6.9166667,9.32489872
6.9333333,9.35686955
6.95,9.40575349
6.9666667,9.47227199
6.9833333,9.69615065
7,9.52438044
7.0166667,9.58048774
7.0333333,9.673458
7.05,9.55067698
7.0666667,9.76831029
7.0833333,9.56289039
7.1,9.71717804
7.1166667,9.71784666
7.1333333,9.76471457
7.15,9.73622324
7.1666667,9.74327727
7.1833333,9.82888983
7.2,9.73160847
7.2166667,9.79104508
7.2333333,9.88452898
7.25,10.01803853
7.2666667,10.22056431
7.2833333,10.5939759
7.3,10.50988239
7.3166667,10.72442918
7.3333333,10.94668059
7.35,11.19098685
7.3666667,11.58124477
7.3833333,11.98503005
7.4,12.46159191
7.4166667,13.04659898
7.4333333,13.74854331
7.45,14.67805213
7.4666667,15.68853495
7.4833333,16.71651285
7.5,18.09150116
7.5166667,19.55911701
7.5333333,21.11435756
7.55,22.88878403
7.5666667,24.63667008
7.5833333,26.41888612
7.6,28.35484681
7.6166667,30.31881807
7.6333333,32.19154913
7.65,34.06545013
7.6666667,35.98611845
7.6833333,37.87791867
7.7,39.60888716
7.7166667,41.34633308
7.7333333,43.03237794
7.75,44.51353637
7.7666667,45.88559435
7.7833333,47.35265762
7.8,48.74464523
7.8166667,50.10112425
7.8333333,51.42150955
7.85,52.48223683
7.8666667,53.61611005
7.8833333,54.56843544
7.9,55.47191419
7.9166667,56.36611558
7.9333333,57.18527938
7.95,58.02084908
7.9666667,58.97397529
7.9833333,60.12099861
8,61.11101376
8.0166667,62.18507507
8.0333333,63.19607823
8.05,64.30209429
8.0666667,65.27113905
8.0833333,66.20353824
8.1,67.27106704
8.1166667,68.33847007
8.1333333,69.3946819
8.15,70.34398903
8.1666667,71.37888885
8.1833333,72.28821061
8.2,73.09455459
8.2166667,74.01507984
8.2333333,74.83633318
8.25,75.77356351
8.2666667,76.8286068
8.2833333,77.91909933
8.3,78.90711624
8.3166667,79.83242983
8.3333333,80.77280351
8.35,81.6160126
8.3666667,82.61308731
8.3833333,83.62455128
8.4,84.65458476
8.4166667,85.54481948
8.4333333,86.32922428
8.45,87.13880893
8.4666667,87.88499311
8.4833333,88.58115218
8.5,89.44514845
8.5166667,90.18434382
8.5333333,91.04848034
8.55,91.88531412
8.5666667,92.79717535
8.5833333,93.64193354
8.6,94.47465181
8.6166667,95.50115382
8.6333333,96.36032567
8.65,97.17470142
8.6666667,97.96631979
8.6833333,98.95915957
8.7,99.7985952
8.7166667,100.4507999
8.7333333,101.1009399
8.75,101.5766654
8.7666667,102.1555553
8.7833333,102.8274
8.8,103.5626793
8.8166667,104.2896189
8.8333333,104.6615927
8.85,104.9227129
8.8666667,105.1367936
8.8833333,105.2370339
8.9,105.239904
8.9166667,105.1674665
8.9333333,105.0044962
8.95,104.5783694
8.9666667,104.1369733
8.9833333,103.5231745
9,102.6980213
9.0166667,101.7076614
9.0333333,100.7216918
9.05,99.59392066
9.0666667,98.39592354
9.0833333,97.38200746
9.1,95.88046875
9.1166667,94.58006883
9.1333333,93.07424249
9.15,91.42658275
9.1666667,89.88114549
9.1833333,88.03548398
9.2,86.31691862
9.2166667,84.74198205
9.2333333,83.17374939
9.25,81.45308319
9.2666667,79.5865302
9.2833333,77.76326651
9.3,75.99446156
9.3166667,74.32127125
9.3333333,72.44947808
9.35,70.59906452
9.3666667,68.51152097
9.3833333,66.51254193
9.4,64.42103385
9.4166667,62.48584618
9.4333333,60.64986754
9.45,58.94677949
9.4666667,57.21254709
9.4833333,55.4683463
9.5,53.6652715
9.5166667,51.69987751
9.5333333,49.72687335
9.55,47.7147178
9.5666667,45.4772496
9.5833333,43.35908458
9.6,41.18731602
9.6166667,39.30006921
9.6333333,37.36172255
9.65,35.30327201
9.6666667,33.35098091
9.6833333,31.58149696
9.7,30.11132751
9.7166667,27.94319384
9.7333333,26.08021509
9.75,24.4702839
9.7666667,22.82078839
9.7833333,21.18533274
9.8,19.73725518
9.8166667,18.15820568
9.8333333,16.84183071
9.85,15.5433127
9.8666667,14.24191489
9.8833333,13.27047105
9.9,12.26227132
9.9166667,11.46348614
9.9333333,10.80944645
9.95,10.17806197
9.9666667,9.46316443
9.9833333,8.95825165
10,8.25174658
10.0166667,7.69614343
10.0333333,7.17542073
10.05,6.78075112
10.0666667,6.59871086
10.0833333,6.51282787
10.1,6.40075975
10.1166667,6.35424414
10.1333333,6.4519882
10.15,6.41492525
10.1666667,6.457987
10.1833333,6.52922708
10.2,6.60871018
10.2166667,6.71996066
10.2333333,6.63221097
10.25,6.66355875
10.2666667,6.51910096
10.2833333,6.50575749
10.3,6.335925
10.3166667,6.356548
10.3333333,6.36858492
10.35,6.38001993
10.3666667,6.46796084
10.3833333,6.60017354
10.4,6.67205974
10.4166667,6.95477592
10.4333333,6.8935206
10.45,7.00834018
10.4666667,7.05964962
10.4833333,7.17865493
10.5,7.48474584
10.5166667,7.4570456
10.5333333,7.56383434
10.55,7.79327549
10.5666667,8.01204792
10.5833333,8.20035738
10.6,8.53852363
10.6166667,9.00680305
10.6333333,9.42089432
10.65,9.97053561
10.6666667,10.59710963
10.6833333,11.30702261
10.7,12.02693406
10.7166667,13.0953954
10.7333333,14.14049864
10.75,15.21182612
10.7666667,16.50388032
10.7833333,17.90815546
10.8,19.26398169
10.8166667,20.87706763
10.8333333,22.52708937
10.85,24.27815019
10.8666667,26.20804561
10.8833333,28.07795876
10.9,29.83458568
10.9166667,31.74708011
10.9333333,33.54965137
10.95,35.39234399
10.9666667,37.0689502
10.9833333,38.88464117
11,40.6879155
11.0166667,42.30045675
11.0333333,43.62636696
11.05,45.33133419
11.0666667,46.96076736
11.0833333,48.74319379
11.1,50.35965457
11.1166667,52.05044466
11.1333333,53.33169172
11.15,54.96780672
11.1666667,56.37123118
11.1833333,57.91119309
11.2,59.30276345
11.2166667,60.76885391
11.2333333,62.40173453
11.25,63.90313838
11.2666667,65.4191252
11.2833333,67.01797499
11.3,68.46422475
11.3166667,69.9320801
11.3333333,71.48398206
11.35,73.19221773
11.3666667,74.81535562
11.3833333,76.28618081
11.4,77.7813907
11.4166667,79.24868369
11.4333333,80.38270711
11.45,81.54950597
11.4666667,82.83861823
11.4833333,83.97341574
11.5,85.25303039
11.5166667,86.81473568
11.5333333,88.17517154
11.55,89.52740337
11.5666667,90.79160891
11.5833333,91.87497852
11.6,93.09973417
11.6166667,94.46558759
11.6333333,95.84147909
11.65,96.91429179
11.6666667,98.06224213
11.6833333,99.15761914
11.7,100.204524
11.7166667,101.0275007
11.7333333,101.7204416
11.75,102.4733086
11.7666667,102.9483489
11.7833333,103.470947
11.8,103.7364439
11.8166667,104.0629564
11.8333333,104.334526
11.85,104.653591
11.8666667,105.2264255
